,molecule_id,molecule_energy,atom_name,x,y,z
0,1,-86.08414836800421,C,-2.143961,0.475994,-0.003432
1,1,-86.08414836800421,C,-0.649002,0.398625,-0.001327
2,1,-86.08414836800421,C,0.13707,-0.713698,0.000992
3,1,-86.08414836800421,C,-0.279817,-2.149919,0.001982
4,1,-86.08414836800421,C,1.586168,-0.296237,0.002525
5,1,-86.08414836800421,C,1.511584,1.200712,0.000707
6,1,-86.08414836800421,C,0.217275,1.583182,-0.001487
7,1,-86.08414836800421,H,-2.598349,-0.512167,-0.003149
8,1,-86.08414836800421,H,-2.507911,1.013527,-0.880832
9,1,-86.08414836800421,H,-2.510287,1.015114,0.872005
10,1,-86.08414836800421,H,-1.362513,-2.253533,0.001199
11,1,-86.08414836800421,H,0.106773,-2.674394,0.878864
12,1,-86.08414836800421,H,0.108166,-2.676001,-0.873328
13,1,-86.08414836800421,H,2.127982,-0.682903,-0.870681
14,1,-86.08414836800421,H,2.125522,-0.68087,0.878152
15,1,-86.08414836800421,H,2.377976,1.852661,0.001154
16,1,-86.08414836800421,H,-0.143265,2.606618,-0.003143
17,10,-82.6134530890049,C,0.100608,0.300605,1.752103
18,10,-82.6134530890049,C,-0.286164,0.773869,0.347971
19,10,-82.6134530890049,C,0.274759,-0.138013,-0.80108
20,10,-82.6134530890049,C,1.803144,-0.050405,-0.897977
21,10,-82.6134530890049,C,-0.184525,-1.596881,-0.688175
22,10,-82.6134530890049,N,-1.753387,0.917827,0.2687
23,10,-82.6134530890049,H,1.17961,0.215216,1.856837
24,10,-82.6134530890049,H,-0.3389,-0.669042,1.977562
25,10,-82.6134530890049,H,-0.256461,1.006705,2.498218
26,10,-82.6134530890049,H,0.148915,1.780146,0.194004
27,10,-82.6134530890049,H,-0.137756,0.26519,-1.741148
28,10,-82.6134530890049,H,2.282307,-0.477562,-0.019443
29,10,-82.6134530890049,H,2.128661,0.984471,-0.987751
30,10,-82.6134530890049,H,2.165932,-0.593661,-1.768516
31,10,-82.6134530890049,H,0.234769,-2.078318,0.192564
32,10,-82.6134530890049,H,0.134059,-2.166367,-1.559017
33,10,-82.6134530890049,H,-1.269161,-1.66189,-0.624003
34,10,-82.6134530890049,H,-2.21094,0.036985,0.490651
35,10,-82.6134530890049,H,-2.034259,1.198283,-0.667903
36,100,-77.86253969000336,C,-0.683101,2.814186,-0.64642
37,100,-77.86253969000336,C,-0.502748,1.712537,-0.174708
38,100,-77.86253969000336,C,-0.268759,0.387844,0.348142
39,100,-77.86253969000336,C,-0.663055,0.067011,1.597084
40,100,-77.86253969000336,C,0.423552,-0.564093,-0.582753
41,100,-77.86253969000336,C,1.392799,-1.587814,-0.054731
42,100,-77.86253969000336,C,0.073158,-2.028133,-0.585655
43,100,-77.86253969000336,H,-0.855021,3.787808,-1.035843
44,100,-77.86253969000336,H,-1.158739,0.791237,2.229353
45,100,-77.86253969000336,H,-0.491953,-0.923046,2.000812
46,100,-77.86253969000336,H,0.671497,-0.136185,-1.553235
47,100,-77.86253969000336,H,1.547232,-1.627121,1.019019
48,100,-77.86253969000336,H,2.277665,-1.795676,-0.648156
49,100,-77.86253969000336,H,-0.673504,-2.367209,0.125452
50,100,-77.86253969000336,H,0.051747,-2.539027,-1.54316
51,1000,-85.77644936800425,C,-1.17499,-1.991117,-1.301306
52,1000,-85.77644936800425,C,-1.03929,-0.485777,-1.117007
53,1000,-85.77644936800425,C,-0.445094,-0.091922,0.255641
54,1000,-85.77644936800425,C,-0.393841,1.395655,0.504587
55,1000,-85.77644936800425,C,0.859564,1.755455,0.855279
56,1000,-85.77644936800425,C,1.719259,0.573948,0.842572
57,1000,-85.77644936800425,C,0.988682,-0.503631,0.483953
58,1000,-85.77644936800425,H,-1.628162,-2.21993,-2.263799
59,1000,-85.77644936800425,H,-1.800039,-2.428661,-0.524837
60,1000,-85.77644936800425,H,-0.205611,-2.48349,-1.264672
61,1000,-85.77644936800425,H,-2.024477,-0.016586,-1.218098
62,1000,-85.77644936800425,H,-0.416404,-0.072304,-1.915442
63,1000,-85.77644936800425,H,-1.078048,-0.561768,1.032713
64,1000,-85.77644936800425,H,-1.252093,2.054445,0.423828
65,1000,-85.77644936800425,H,1.190486,2.756717,1.110411
66,1000,-85.77644936800425,H,2.776687,0.577453,1.085288
67,1000,-85.77644936800425,H,1.351932,-1.521542,0.392293
68,1001,-70.56417683600375,C,-0.845158,-1.816583,1.238824
69,1001,-70.56417683600375,C,0.631353,-1.605552,1.095359
70,1001,-70.56417683600375,C,1.191863,-0.593237,0.405233
71,1001,-70.56417683600375,C,0.459155,0.42338,-0.288161
72,1001,-70.56417683600375,C,-0.104018,1.312339,-0.895216
73,1001,-70.56417683600375,C,-0.810743,2.363611,-1.61275
74,1001,-70.56417683600375,H,-1.059434,-2.693652,1.844123
75,1001,-70.56417683600375,H,-1.322001,-1.952083,0.267253
76,1001,-70.56417683600375,H,-1.324312,-0.956588,1.708229
77,1001,-70.56417683600375,H,1.287459,-2.323385,1.584566
78,1001,-70.56417683600375,H,2.279295,-0.514634,0.351754
